wof:id,gp:id
538968001,12790540
554743009,12789632
554698091,12759328
554745007,12790861
554698093,12759330
554739015,12787295
554743015,12789635
554746003,12791405
554698095,12759331
554745009,12790862
554748001,12792947
554748005,12792948
554739017,12787296
554742019,12789086
554746007,12791406
504784869,22503758
504785087,22503783
554745011,12790863
538968003,12790542
504784871,22503763
554739019,12787297
554698097,12759333
554748007,12792949
554746013,12791409
554739027,12787300
554748009,12792950
554739029,12787301
554748011,12792951
554746015,12791410
554698099,12759334
554743019,12789636
554745019,12790866
554744001,12790222
554698101,12759335
554739031,12787302
554745021,12790867
554746017,12791411
554724003,12778636
554745023,12790868
554739033,12787303
554743021,12789637
554724005,12778638
554746019,12791412
554750003,12794220
554743023,12789638
554739035,12787304
554746021,12791413
554744003,12790223
554746025,12791414
554739037,12787305
554743025,12789643
554704003,12763972
554746027,12791415
554704005,12763974
554742021,12789087
554743027,12789644
554746029,12791416
554739041,12787306
554746031,12791417
554747003,12792242
554749001,12793599
554724007,12778640
554746033,12791419
554748013,12792952
554737001,12786270
504784873,24505078
538968005,12790550
504785091,22503785
504784875,22503727
538968007,12791019
554752003,12796062
554709007,12767874
554748015,12792953
554752007,12796065
554748017,12792954
504785093,22503788
554752009,12796066
504784877,22503824
554753001,12797019
554740005,12787785
554752015,12796071
554752019,12796072
554741003,12788472
538968009,23510041
554740007,12787786
504785095,22503790
504784879,22503835
538968011,23510042
504784883,22503826
504785099,22503705
554741005,12788473
554752021,12796082
538968013,23510049
554753003,12797020
504785101,22503706
504784885,22503750
554752025,12796084
554753005,12797027
554758001,12761193
554758003,12761196
554758005,12761197
554756007,12799317
554758007,12761198
554758009,12761199
554758013,12761200
554758015,12761201
554753009,12797028
554758017,12761202
554752033,12796088
554741009,12788475
554758019,12761210
554758021,12761216
554758023,12761217
554754003,12797977
554758025,12761218
554758027,12761220
554758031,12761221
554758033,12761225
554758035,12761248
554758037,12761250
554758039,12761266
554758041,12761292
538968017,12792358
504785089,22503786
504785103,22503712
504784887,22503730
554759011,12766049
538968019,12792360
554759013,12766050
554759017,12766054
554760001,12768931
554759021,12766055
554760003,12768932
554759023,23509709
554760005,12768933
554753011,12797029
554759025,12766056
554758045,12761304
554759027,12766057
554759029,12766060
554759031,12766061
554759033,12766063
554758049,12761320
554759035,12766064
554758051,12761325
554759039,12766066
554758053,12761327
554759041,12766067
554758055,12761328
554759043,12766068
554758057,12761329
554741011,12788477
554759045,12766069
554709009,12767875
554758059,12761330
554759047,12766071
554758061,12761331
554759049,12766072
554758063,12761332
554758067,23509654
554758069,12761574
554758071,12761595
554758073,12761601
554758075,12761607
554758077,26814986
554760007,12768934
554752037,12796091
554760011,12768936
554760013,12768937
554760015,23509757
554760017,12768939
504785105,22503837
554760021,23509758
554760025,12768946
554744005,12790224
554760029,12768954
554761001,12771876
504784889,22503871
504784891,22503761
504785107,22503792
554761013,12771893
504785109,22503713
538968023,12792540
554761023,12771901
504784893,22503773
554761025,12771904
554762005,12776414
538968025,23509641
554701001,12761662
554761027,12771912
554763003,12784737
554762009,12776415
504785111,24505091
554764001,12795487
554763005,12784739
554761029,12771914
554762011,12776416
554764007,12795490
554763007,12784740
554761031,12771926
554762013,12776417
554764009,24505068
554761033,12771927
554763009,12784742
554762015,23509915
554765001,12797715
554764011,12795493
554763011,12784743
554761037,12771929
554762017,12776418
554765003,12797736
554761039,12771930
554763013,12784744
554760031,12768977
554765005,12797739
554761041,12771931
554763017,12784745
554760033,12768980
554765007,12797748
554761043,12771934
554763019,12784747
554760035,12768987
554761045,12771936
554763021,12784748
504784895,22503731
554760039,12768992
554761047,12771950
554701007,12761664
538968027,12759422
554760041,12768993
554751007,12794945
554763025,12784751
554756009,12799318
554761049,12771972
554763027,12784752
554760047,12769016
554761051,12771973
554763029,12784753
554760049,12769031
554761055,12771974
554763031,12784754
554760051,12769041
554761057,12771975
554760053,12769043
554763035,12784755
554761059,12771976
554751011,12794948
554763037,12784756
554760055,12769051
554761061,12771977
554763039,12784758
554760057,12769053
554761063,12771978
554760059,12769054
554763041,12784760
554765009,12797750
554764013,12795494
554761065,12771979
554701009,12761665
554762019,12776419
554763043,12784761
554765011,12797754
554761067,12771980
554764015,23510118
554739043,12787307
554763045,12784814
554753013,12797031
554761069,12771981
554764019,12795495
554763047,12784815
554761073,12771982
554764021,12795496
554763049,12784818
554761075,12771983
554763053,12784831
554701011,12761666
554759051,12766073
538968021,28350111
554760061,12769055
554759053,12766074
504785113,24505092
538968029,12759594
554762021,12776580
554760073,12769060
504785117,22503796
554762029,12776712
554759057,12766075
504784901,22503819
554760075,12769061
554762031,12776724
554759059,12766076
538968031,12764553
554760079,26814991
554768003,12766193
554706017,12765324
554762033,12776739
554759061,12766077
554760085,12769066
554759063,12766078
554762035,12776752
554760087,12769078
554759065,12766079
554762037,12776758
554760089,12769081
554759067,12766080
554767003,12763792
554759069,12766081
554762039,12776759
554760091,12769094
554759071,12766082
554762041,12776760
554760093,12769095
554759077,12766084
504784903,22503821
554762045,12776766
554759081,12766086
554768005,12766195
554762049,12776770
554759085,12766088
554768007,12766215
554767005,12763793
504784897,22503767
504785119,24505093
554768009,12766220
554770003,12775617
554767009,12763802
504784905,24505080
504785121,24505094
554770005,12775625
554770009,12775633
554771001,12778431
554767015,12763809
554770011,12775634
554768011,12766229
554770013,12775638
554770015,12775647
554722007,12777322
554771003,12778432
554767017,12763810
554771005,12778433
554770019,12775650
554767019,12763811
554771009,12778435
554768013,12766244
554768015,12766253
554768017,12766293
554771011,12778436
554764025,12795497
554768021,12766295
554768023,12766296
554764027,23510119
554709011,12767876
554768025,12766337
554764029,12795498
554768027,12766357
554764031,12795499
554771013,12778438
554764033,12795500
554771015,12778448
554764035,12795502
554768029,12766371
554767021,12763814
554722009,12777323
554706019,12765325
554764037,12795503
554764039,12795509
554768031,12766381
554771017,12778455
554764045,12795542
554768033,12766395
554764047,12795545
554767023,12763815
554768035,12766410
554768039,12766411
554768041,12766412
554772001,12793373
554768043,12766413
554768045,23509725
554768047,12766454
554762051,12776771
554764049,12795553
554768049,12766456
554762053,12776772
554772003,12793378
554768051,12766458
